Unix,Date,Symbol,Open,High,Low,Close,Volume 1INCH,Volume USDT,tradecount
1703116800000,2023-12-21,1INCHUSDT,0.3704,0.3966,0.3662,0.392,14557649.6,5553295.55156,35978
1703030400000,2023-12-20,1INCHUSDT,0.3564,0.3759,0.3536,0.3704,9979044.2,3672369.2364,23748
1702944000000,2023-12-19,1INCHUSDT,0.3613,0.3696,0.3523,0.3563,9500566.6,3450290.48451,20935
1702857600000,2023-12-18,1INCHUSDT,0.3655,0.3683,0.3365,0.3613,12201092.3,4289581.75469,28775
1702771200000,2023-12-17,1INCHUSDT,0.3768,0.3794,0.3636,0.3656,8760198.4,3258767.65208,21545
1702684800000,2023-12-16,1INCHUSDT,0.3622,0.3824,0.3562,0.3768,11788127.0,4395234.16546,25943
1702598400000,2023-12-15,1INCHUSDT,0.3824,0.3837,0.3604,0.3622,9806556.3,3660336.00639,22726
1702512000000,2023-12-14,1INCHUSDT,0.3746,0.3839,0.356,0.3825,11484581.4,4291814.08554,27708
1702425600000,2023-12-13,1INCHUSDT,0.3715,0.377,0.3508,0.3745,12603990.0,4575422.77182,24972
1702339200000,2023-12-12,1INCHUSDT,0.364,0.3745,0.3592,0.3714,11989166.9,4421114.62546,24950
1702252800000,2023-12-11,1INCHUSDT,0.4021,0.4033,0.337,0.3643,19524557.0,7175304.5812,47444
1702166400000,2023-12-10,1INCHUSDT,0.4041,0.4146,0.388,0.402,11158660.7,4468760.6467,26714
1702080000000,2023-12-09,1INCHUSDT,0.4106,0.4222,0.3994,0.4042,19706135.2,8146680.30092,49015
1701993600000,2023-12-08,1INCHUSDT,0.3871,0.4143,0.387,0.4106,19477891.1,7771997.742,45151
1701907200000,2023-12-07,1INCHUSDT,0.3734,0.3883,0.3644,0.3871,15785620.5,5981085.70831,34175
1701820800000,2023-12-06,1INCHUSDT,0.3758,0.3845,0.3602,0.3734,18356094.4,6861295.37924,38030
1701734400000,2023-12-05,1INCHUSDT,0.3665,0.3819,0.3598,0.3753,23314555.0,8642478.07607,46797
1701648000000,2023-12-04,1INCHUSDT,0.3554,0.3746,0.3402,0.3662,27418910.8,9930000.59877,62960
1701561600000,2023-12-03,1INCHUSDT,0.3568,0.3589,0.3483,0.3552,6965850.8,2465093.51397,15622
1701475200000,2023-12-02,1INCHUSDT,0.3508,0.359,0.3463,0.3568,14534604.4,5131649.68722,24501
1701388800000,2023-12-01,1INCHUSDT,0.3417,0.3514,0.3385,0.3512,6200170.2,2138578.20253,12019
1701302400000,2023-11-30,1INCHUSDT,0.3426,0.3621,0.3383,0.3416,18827846.7,6538365.2137,34342
1701216000000,2023-11-29,1INCHUSDT,0.3439,0.3451,0.3353,0.3425,9235492.3,3148246.14587,20084
1701129600000,2023-11-28,1INCHUSDT,0.3441,0.3485,0.3338,0.3439,8550038.0,2928488.76215,15787
1701043200000,2023-11-27,1INCHUSDT,0.3553,0.3577,0.3365,0.3439,10868019.9,3747335.32877,21205
1700956800000,2023-11-26,1INCHUSDT,0.3711,0.3711,0.3472,0.3553,8535148.6,3074783.71595,18595
1700870400000,2023-11-25,1INCHUSDT,0.3581,0.3768,0.3557,0.3709,8816338.4,3249141.83748,19436
1700784000000,2023-11-24,1INCHUSDT,0.3588,0.3659,0.3547,0.3585,11026379.2,3973376.96816,19234
1700697600000,2023-11-23,1INCHUSDT,0.3527,0.3669,0.3481,0.3583,10773299.5,3855493.92906,21083
1700611200000,2023-11-22,1INCHUSDT,0.3228,0.3589,0.3222,0.3525,11689184.1,4013913.23722,22900
1700524800000,2023-11-21,1INCHUSDT,0.3558,0.3663,0.322,0.3229,11360018.8,3915954.40504,27509
1700438400000,2023-11-20,1INCHUSDT,0.3661,0.3665,0.3508,0.3558,7439689.3,2683834.0169,15216
1700352000000,2023-11-19,1INCHUSDT,0.3502,0.3683,0.3418,0.366,7223315.4,2561219.39343,15859
1700265600000,2023-11-18,1INCHUSDT,0.3557,0.3557,0.3271,0.3502,9056363.3,3104954.33445,19509
1700179200000,2023-11-17,1INCHUSDT,0.3563,0.3778,0.3406,0.3556,16513181.6,5960933.5416,39328
1700092800000,2023-11-16,1INCHUSDT,0.3715,0.3785,0.3478,0.3565,12790445.6,4666579.9425,31751
