Unix,Date,Symbol,Open,High,Low,Close,Volume ALGO,Volume USDT,tradecount
1703116800000,2023-12-21,ALGOUSDT,0.1983,0.2305,0.1946,0.2239,133953273.0,28579707.6948,128413
1703030400000,2023-12-20,ALGOUSDT,0.1922,0.2038,0.1888,0.1983,64026562.0,12647167.7544,54517
1702944000000,2023-12-19,ALGOUSDT,0.1955,0.2052,0.1905,0.1923,65246204.0,12950271.0144,54804
1702857600000,2023-12-18,ALGOUSDT,0.1904,0.196,0.1767,0.1955,65133521.0,12151310.5151,58359
1702771200000,2023-12-17,ALGOUSDT,0.1982,0.2009,0.1893,0.1904,43352594.0,8475961.4015,40588
1702684800000,2023-12-16,ALGOUSDT,0.1962,0.2042,0.1932,0.1982,54962470.0,10985651.7297,43594
1702598400000,2023-12-15,ALGOUSDT,0.2163,0.2169,0.1943,0.1961,79394175.0,16153535.5371,64938
1702512000000,2023-12-14,ALGOUSDT,0.201,0.2179,0.1963,0.2163,119588869.0,25004221.4647,108600
1702425600000,2023-12-13,ALGOUSDT,0.1981,0.2042,0.1843,0.2009,103763759.0,20064893.4434,88322
1702339200000,2023-12-12,ALGOUSDT,0.2027,0.215,0.1932,0.1981,135039598.0,27566462.1501,120832
1702252800000,2023-12-11,ALGOUSDT,0.2014,0.2094,0.167,0.2026,162322259.0,30937609.6378,151972
1702166400000,2023-12-10,ALGOUSDT,0.1994,0.205,0.1889,0.2015,93586290.0,18504394.9126,78357
1702080000000,2023-12-09,ALGOUSDT,0.1843,0.2231,0.1837,0.1995,329560257.0,67181808.7262,272354
1701993600000,2023-12-08,ALGOUSDT,0.1638,0.1857,0.1624,0.1843,133061434.0,23395858.8935,105783
1701907200000,2023-12-07,ALGOUSDT,0.1529,0.1649,0.1526,0.1638,101510504.0,16254260.9938,73506
1701820800000,2023-12-06,ALGOUSDT,0.1537,0.1579,0.1504,0.1528,68886663.0,10646332.1889,48463
1701734400000,2023-12-05,ALGOUSDT,0.1534,0.155,0.1495,0.1537,60774775.0,9251895.1335,39734
1701648000000,2023-12-04,ALGOUSDT,0.1512,0.16,0.1459,0.1534,102887374.0,15774880.7873,66130
1701561600000,2023-12-03,ALGOUSDT,0.1479,0.155,0.1466,0.1513,89474136.0,13537161.5794,56879
1701475200000,2023-12-02,ALGOUSDT,0.1394,0.1484,0.1386,0.1479,71716222.0,10362160.9667,43047
1701388800000,2023-12-01,ALGOUSDT,0.1338,0.1395,0.1329,0.1394,53821284.0,7309471.0063,31631
1701302400000,2023-11-30,ALGOUSDT,0.1341,0.14,0.1312,0.1338,71975159.0,9685231.8233,42731
1701216000000,2023-11-29,ALGOUSDT,0.133,0.1345,0.1301,0.1341,50408965.0,6677218.937,31550
1701129600000,2023-11-28,ALGOUSDT,0.1317,0.1351,0.1285,0.133,38544816.0,5104639.7933,25152
1701043200000,2023-11-27,ALGOUSDT,0.1361,0.1386,0.1291,0.1317,41040033.0,5448111.2033,31051
1700956800000,2023-11-26,ALGOUSDT,0.1405,0.1409,0.1331,0.1361,44351158.0,6106888.2688,28230
1700870400000,2023-11-25,ALGOUSDT,0.1336,0.1418,0.1326,0.1404,46070571.0,6387960.5602,31798
1700784000000,2023-11-24,ALGOUSDT,0.1306,0.1353,0.1303,0.1335,40136244.0,5330710.3427,28607
1700697600000,2023-11-23,ALGOUSDT,0.1324,0.1343,0.1281,0.1306,40045818.0,5248167.3328,24679
1700611200000,2023-11-22,ALGOUSDT,0.1234,0.1348,0.123,0.1323,63108664.0,8176584.7794,39172
1700524800000,2023-11-21,ALGOUSDT,0.1414,0.1427,0.1234,0.1234,126878162.0,16795865.6151,77672
1700438400000,2023-11-20,ALGOUSDT,0.1406,0.1507,0.1379,0.1414,120658600.0,17430055.2165,74791
1700352000000,2023-11-19,ALGOUSDT,0.1345,0.1425,0.1305,0.1406,39419661.0,5384496.1845,32178
1700265600000,2023-11-18,ALGOUSDT,0.136,0.136,0.1261,0.1345,42367563.0,5575519.055,38048
1700179200000,2023-11-17,ALGOUSDT,0.1356,0.1399,0.128,0.136,68978514.0,9268420.2809,57420
1700092800000,2023-11-16,ALGOUSDT,0.1422,0.1472,0.1325,0.1357,112805544.0,15867717.8433,72463
1700006400000,2023-11-15,ALGOUSDT,0.129,0.1453,0.1285,0.1422,95549364.0,13218643.3925,60385
1699920000000,2023-11-14,ALGOUSDT,0.1333,0.1365,0.1225,0.1291,92972826.0,12204741.9215,61665
1699833600000,2023-11-13,ALGOUSDT,0.146,0.1476,0.1323,0.1333,113204678.0,15856683.5925,72181
1699747200000,2023-11-12,ALGOUSDT,0.1335,0.1484,0.1278,0.1461,148846934.0,20861054.8714,89589
1699660800000,2023-11-11,ALGOUSDT,0.1281,0.1363,0.1244,0.1335,99335414.0,13048042.8196,63579
1699574400000,2023-11-10,ALGOUSDT,0.1238,0.1283,0.1195,0.128,87658831.0,10834880.4963,55301
1699488000000,2023-11-09,ALGOUSDT,0.127,0.1318,0.1068,0.1238,134661721.0,16797469.7359,79765
1699401600000,2023-11-08,ALGOUSDT,0.1235,0.1282,0.1224,0.127,50520433.0,6357384.2269,37593
1699315200000,2023-11-07,ALGOUSDT,0.129,0.13,0.1183,0.1235,77285228.0,9592618.0602,53216
1699228800000,2023-11-06,ALGOUSDT,0.1213,0.1299,0.1189,0.1291,90361814.0,11284885.8861,53503
1699142400000,2023-11-05,ALGOUSDT,0.1149,0.1233,0.1143,0.1212,129640616.0,15465705.6707,62274
1699056000000,2023-11-04,ALGOUSDT,0.1114,0.1157,0.1099,0.1149,75210805.0,8477863.5939,35700
1698969600000,2023-11-03,ALGOUSDT,0.1112,0.1134,0.1069,0.1115,79220598.0,8742179.2822,43232
1698883200000,2023-11-02,ALGOUSDT,0.1144,0.1153,0.1083,0.1113,101767140.0,11441408.0503,52927
1698796800000,2023-11-01,ALGOUSDT,0.1093,0.1157,0.1066,0.1144,92490810.0,10239061.7443,50853
1698710400000,2023-10-31,ALGOUSDT,0.1121,0.1138,0.1054,0.1093,94820097.0,10388071.3404,47768
1698624000000,2023-10-30,ALGOUSDT,0.1066,0.1125,0.1049,0.1121,111360679.0,12118317.4558,50109
1698537600000,2023-10-29,ALGOUSDT,0.1017,0.1072,0.1002,0.1065,62147225.0,6477945.883,32868
1698451200000,2023-10-28,ALGOUSDT,0.0992,0.1025,0.099,0.1017,42438769.0,4295236.8831,24310
1698364800000,2023-10-27,ALGOUSDT,0.1012,0.1016,0.0981,0.0992,49130668.0,4905586.4637,28952
1698278400000,2023-10-26,ALGOUSDT,0.1009,0.1037,0.0977,0.1012,87023723.0,8806383.0389,42746
1698192000000,2023-10-25,ALGOUSDT,0.1007,0.1033,0.0983,0.1009,86927243.0,8777929.6468,41573
1698105600000,2023-10-24,ALGOUSDT,0.0983,0.1028,0.0961,0.1008,146702125.0,14595213.4194,61105
1698019200000,2023-10-23,ALGOUSDT,0.0943,0.099,0.093,0.0983,100848078.0,9599805.7406,40830
1697932800000,2023-10-22,ALGOUSDT,0.0941,0.095,0.092,0.0943,42331263.0,3952037.8423,19069
1697846400000,2023-10-21,ALGOUSDT,0.0912,0.0943,0.0909,0.0942,52499254.0,4874770.5115,21625
1697760000000,2023-10-20,ALGOUSDT,0.0897,0.0927,0.089,0.0913,60973729.0,5543944.6425,24705
1697673600000,2023-10-19,ALGOUSDT,0.0899,0.0904,0.0877,0.0897,46280944.0,4127232.7019,19358
1697587200000,2023-10-18,ALGOUSDT,0.0914,0.0924,0.0898,0.0899,48953906.0,4440541.7269,19584
1697500800000,2023-10-17,ALGOUSDT,0.0948,0.0951,0.0906,0.0914,63137611.0,5852695.6322,24243
1697414400000,2023-10-16,ALGOUSDT,0.0944,0.0984,0.0938,0.0948,59453810.0,5676240.1931,27830
1697328000000,2023-10-15,ALGOUSDT,0.0953,0.0961,0.0942,0.0943,33435559.0,3181592.5363,16753
1697241600000,2023-10-14,ALGOUSDT,0.0951,0.096,0.0945,0.0953,23273746.0,2218129.6471,12626
1697155200000,2023-10-13,ALGOUSDT,0.0936,0.0968,0.0935,0.0951,17830897.0,1696184.2894,12645
1697068800000,2023-10-12,ALGOUSDT,0.095,0.0955,0.0929,0.0936,18327784.0,1729381.0942,13540
1696982400000,2023-10-11,ALGOUSDT,0.0952,0.0956,0.0931,0.0951,23004547.0,2168548.7053,16128
1696896000000,2023-10-10,ALGOUSDT,0.0966,0.0971,0.0943,0.0951,19452910.0,1862098.6977,14612
1696809600000,2023-10-09,ALGOUSDT,0.1012,0.1014,0.0945,0.0965,32946170.0,3217742.2546,21487
1696723200000,2023-10-08,ALGOUSDT,0.0999,0.1032,0.0992,0.1013,33833220.0,3437281.8774,17129
1696636800000,2023-10-07,ALGOUSDT,0.1008,0.1013,0.0995,0.1,12490500.0,1251886.6123,8787
1696550400000,2023-10-06,ALGOUSDT,0.1003,0.1018,0.098,0.1007,25220301.0,2520231.828,14672
1696464000000,2023-10-05,ALGOUSDT,0.0993,0.1011,0.0976,0.1002,27331213.0,2711532.0204,16302
1696377600000,2023-10-04,ALGOUSDT,0.1011,0.1014,0.0972,0.0993,42048552.0,4157350.8272,22542
1696291200000,2023-10-03,ALGOUSDT,0.1012,0.1031,0.1002,0.1012,24827115.0,2524140.3963,14633
1696204800000,2023-10-02,ALGOUSDT,0.1064,0.1065,0.1,0.1013,38443696.0,3984499.4136,21513
1696118400000,2023-10-01,ALGOUSDT,0.1033,0.1077,0.1027,0.1063,36984471.0,3866699.4789,20044
1696032000000,2023-09-30,ALGOUSDT,0.1015,0.1055,0.1007,0.1033,36664978.0,3776665.8002,19182
