Unix,Date,Symbol,Open,High,Low,Close,Volume BAT,Volume USDT,tradecount
1703116800000,2023-12-21,BATUSDT,0.2366,0.2454,0.234,0.2445,8525907.0,2062364.9529,20911
1703030400000,2023-12-20,BATUSDT,0.2251,0.2406,0.224,0.2364,6431902.0,1504376.8251,17193
1702944000000,2023-12-19,BATUSDT,0.2314,0.236,0.2236,0.2251,5186628.0,1191934.8246,12993
1702857600000,2023-12-18,BATUSDT,0.2363,0.2379,0.2158,0.2314,10493219.0,2360753.879,24877
1702771200000,2023-12-17,BATUSDT,0.2373,0.2422,0.2329,0.2361,6065269.0,1443582.9951,15235
1702684800000,2023-12-16,BATUSDT,0.2332,0.242,0.2291,0.2372,5779331.0,1374766.6972,14327
1702598400000,2023-12-15,BATUSDT,0.2455,0.2492,0.232,0.2332,6728162.0,1623857.9922,17585
1702512000000,2023-12-14,BATUSDT,0.2412,0.2468,0.2341,0.2456,8927530.0,2161291.1866,22769
1702425600000,2023-12-13,BATUSDT,0.2375,0.2421,0.2268,0.2413,9976109.0,2334063.5925,19787
1702339200000,2023-12-12,BATUSDT,0.2327,0.238,0.2296,0.2375,9004962.0,2109773.013,13996
1702252800000,2023-12-11,BATUSDT,0.2539,0.2547,0.2209,0.2326,17099870.0,4020067.529,31882
1702166400000,2023-12-10,BATUSDT,0.2537,0.2588,0.2443,0.2539,8708704.0,2193183.6102,17318
1702080000000,2023-12-09,BATUSDT,0.2541,0.2596,0.2504,0.2536,10660528.0,2724862.733,22215
1701993600000,2023-12-08,BATUSDT,0.2438,0.255,0.2419,0.254,10163901.0,2516538.9679,20105
1701907200000,2023-12-07,BATUSDT,0.2381,0.249,0.2315,0.2439,10722403.0,2575646.1762,20794
1701820800000,2023-12-06,BATUSDT,0.2452,0.2467,0.2329,0.2376,14630173.0,3506953.6135,26258
1701734400000,2023-12-05,BATUSDT,0.2468,0.2503,0.2375,0.245,12889874.0,3139121.3071,26057
1701648000000,2023-12-04,BATUSDT,0.2334,0.2599,0.2244,0.2471,66937156.0,16282202.5476,122946
1701561600000,2023-12-03,BATUSDT,0.2363,0.2468,0.2307,0.2335,19946131.0,4742230.6193,34645
1701475200000,2023-12-02,BATUSDT,0.2267,0.2424,0.2244,0.2362,22755990.0,5328011.2994,35693
1701388800000,2023-12-01,BATUSDT,0.2236,0.2269,0.2195,0.2266,11417923.0,2541760.0285,16421
1701302400000,2023-11-30,BATUSDT,0.2293,0.2446,0.2195,0.2235,39157625.0,8902419.5785,55207
1701216000000,2023-11-29,BATUSDT,0.2115,0.236,0.2103,0.2293,51659627.0,11666523.2432,88682
1701129600000,2023-11-28,BATUSDT,0.2088,0.2133,0.204,0.2114,4670160.0,975916.7744,8261
1701043200000,2023-11-27,BATUSDT,0.2151,0.2166,0.2042,0.2089,6325428.0,1325871.3326,10393
1700956800000,2023-11-26,BATUSDT,0.2207,0.2214,0.2105,0.2152,5698361.0,1233109.7489,8237
1700870400000,2023-11-25,BATUSDT,0.2155,0.2208,0.2137,0.2207,4898318.0,1066980.8027,7856
1700784000000,2023-11-24,BATUSDT,0.2111,0.216,0.2095,0.2157,6413528.0,1364986.9026,8061
1700697600000,2023-11-23,BATUSDT,0.2084,0.212,0.2046,0.2111,6784578.0,1416710.4976,8180
1700611200000,2023-11-22,BATUSDT,0.1966,0.2105,0.1958,0.2084,18257456.0,3702793.1404,27408
1700524800000,2023-11-21,BATUSDT,0.2214,0.2224,0.1962,0.1966,24056844.0,5011722.9687,43563
1700438400000,2023-11-20,BATUSDT,0.225,0.2266,0.2179,0.2214,11165900.0,2490663.742,30371
1700352000000,2023-11-19,BATUSDT,0.2215,0.2258,0.2158,0.2249,7659673.0,1691318.3626,24332
1700265600000,2023-11-18,BATUSDT,0.2289,0.2292,0.2143,0.2215,5698929.0,1259150.3568,16177
1700179200000,2023-11-17,BATUSDT,0.2214,0.2305,0.2166,0.229,10633326.0,2398430.7494,22876
