Unix,Date,Symbol,Open,High,Low,Close,Volume EOS,Volume USDT,tradecount
1703116800000,2023-12-21,EOSUSDT,0.789,0.848,0.784,0.844,15420103.5,12473552.5578,32004
1703030400000,2023-12-20,EOSUSDT,0.763,0.804,0.755,0.788,14745441.3,11571505.6927,26715
1702944000000,2023-12-19,EOSUSDT,0.778,0.791,0.755,0.762,13883518.0,10748404.3433,22404
1702857600000,2023-12-18,EOSUSDT,0.8,0.805,0.732,0.777,21345988.2,16330732.9753,38751
1702771200000,2023-12-17,EOSUSDT,0.806,0.831,0.792,0.799,28096695.4,22839987.1365,48541
1702684800000,2023-12-16,EOSUSDT,0.755,0.81,0.744,0.806,31423413.7,24594465.8227,43391
1702598400000,2023-12-15,EOSUSDT,0.792,0.799,0.749,0.756,15548197.3,12091901.497,26301
1702512000000,2023-12-14,EOSUSDT,0.785,0.802,0.756,0.792,14238103.2,11157444.7652,27515
1702425600000,2023-12-13,EOSUSDT,0.782,0.791,0.741,0.785,13090531.6,10018254.5126,27104
1702339200000,2023-12-12,EOSUSDT,0.77,0.793,0.756,0.782,16357147.2,12730608.0218,34402
1702252800000,2023-12-11,EOSUSDT,0.838,0.841,0.735,0.77,27174462.8,21083239.6824,51165
1702166400000,2023-12-10,EOSUSDT,0.853,0.881,0.814,0.838,22331353.4,18799761.0593,43016
1702080000000,2023-12-09,EOSUSDT,0.799,0.873,0.798,0.853,36465735.0,30754426.1794,73642
1701993600000,2023-12-08,EOSUSDT,0.77,0.8,0.759,0.799,13383707.2,10402201.2579,24225
1701907200000,2023-12-07,EOSUSDT,0.74,0.793,0.737,0.769,32259669.6,24719257.5301,50771
1701820800000,2023-12-06,EOSUSDT,0.742,0.752,0.719,0.74,13266467.8,9799670.1326,27809
1701734400000,2023-12-05,EOSUSDT,0.718,0.748,0.712,0.742,16008654.3,11692908.3017,31309
1701648000000,2023-12-04,EOSUSDT,0.701,0.73,0.694,0.718,20143294.9,14382932.5112,36683
1701561600000,2023-12-03,EOSUSDT,0.702,0.706,0.69,0.7,8701567.7,6071686.6349,15761
1701475200000,2023-12-02,EOSUSDT,0.689,0.706,0.687,0.701,5763455.2,4005256.7325,12372
1701388800000,2023-12-01,EOSUSDT,0.679,0.693,0.673,0.689,6751602.0,4614179.8118,12990
1701302400000,2023-11-30,EOSUSDT,0.68,0.684,0.671,0.679,7525811.5,5094974.4009,14635
1701216000000,2023-11-29,EOSUSDT,0.678,0.688,0.671,0.679,8866313.9,6021715.4121,16522
1701129600000,2023-11-28,EOSUSDT,0.675,0.685,0.657,0.678,12470549.4,8388383.416,22706
1701043200000,2023-11-27,EOSUSDT,0.699,0.708,0.662,0.675,12408953.9,8452439.6115,24263
1700956800000,2023-11-26,EOSUSDT,0.701,0.706,0.678,0.699,10603434.2,7367528.8612,17075
1700870400000,2023-11-25,EOSUSDT,0.684,0.702,0.68,0.701,7507356.0,5201080.6047,13035
1700784000000,2023-11-24,EOSUSDT,0.674,0.69,0.673,0.684,8757098.1,5962729.0922,14007
1700697600000,2023-11-23,EOSUSDT,0.678,0.683,0.66,0.675,10852870.5,7311532.5274,15708
1700611200000,2023-11-22,EOSUSDT,0.647,0.684,0.645,0.677,12487467.0,8335013.7087,20567
1700524800000,2023-11-21,EOSUSDT,0.706,0.718,0.639,0.647,24572957.7,16841426.0252,44079
1700438400000,2023-11-20,EOSUSDT,0.721,0.731,0.699,0.706,15449609.6,11069457.7716,28060
1700352000000,2023-11-19,EOSUSDT,0.71,0.725,0.695,0.721,9635846.2,6850672.7681,17554
1700265600000,2023-11-18,EOSUSDT,0.712,0.717,0.673,0.71,10362894.1,7261231.174,22987
1700179200000,2023-11-17,EOSUSDT,0.705,0.726,0.68,0.713,15141781.0,10676462.3324,32362
1700092800000,2023-11-16,EOSUSDT,0.73,0.753,0.686,0.705,27264036.8,19830707.1442,53586
1700006400000,2023-11-15,EOSUSDT,0.695,0.734,0.689,0.731,12726875.7,9092406.3918,26745
1699920000000,2023-11-14,EOSUSDT,0.72,0.731,0.659,0.695,17658773.9,12404675.7511,38823
1699833600000,2023-11-13,EOSUSDT,0.733,0.757,0.711,0.72,21260837.6,15624661.7818,51409
1699747200000,2023-11-12,EOSUSDT,0.725,0.744,0.698,0.733,12124071.8,8829305.0241,33113
1699660800000,2023-11-11,EOSUSDT,0.709,0.742,0.696,0.726,21062668.9,15194187.2331,44736
1699574400000,2023-11-10,EOSUSDT,0.682,0.715,0.668,0.709,22139204.6,15264667.2408,35190
1699488000000,2023-11-09,EOSUSDT,0.702,0.722,0.629,0.681,32182068.2,22253651.6245,52954
1699401600000,2023-11-08,EOSUSDT,0.688,0.709,0.681,0.702,11069943.1,7710731.6172,18837
1699315200000,2023-11-07,EOSUSDT,0.699,0.709,0.661,0.688,16520588.0,11338429.9697,29760
1699228800000,2023-11-06,EOSUSDT,0.676,0.703,0.666,0.699,11759070.2,8061342.4032,22241
1699142400000,2023-11-05,EOSUSDT,0.66,0.691,0.656,0.677,15145233.7,10194773.8963,26380
1699056000000,2023-11-04,EOSUSDT,0.649,0.664,0.647,0.659,6516111.5,4266665.9565,13250
1698969600000,2023-11-03,EOSUSDT,0.648,0.661,0.622,0.648,11798678.8,7570912.3724,22074
1698883200000,2023-11-02,EOSUSDT,0.655,0.664,0.625,0.649,17736470.0,11520871.1043,27613
1698796800000,2023-11-01,EOSUSDT,0.637,0.66,0.611,0.656,23554456.8,14872721.4485,32767
1698710400000,2023-10-31,EOSUSDT,0.628,0.65,0.604,0.638,26364020.7,16596515.8167,32546
1698624000000,2023-10-30,EOSUSDT,0.628,0.633,0.609,0.627,19165160.1,11932113.9393,21937
1698537600000,2023-10-29,EOSUSDT,0.629,0.653,0.612,0.628,16179578.2,10202849.0992,22714
1698451200000,2023-10-28,EOSUSDT,0.602,0.643,0.6,0.629,17456350.3,10908311.4301,23137
1698364800000,2023-10-27,EOSUSDT,0.597,0.617,0.585,0.602,18868822.6,11316328.4822,22771
1698278400000,2023-10-26,EOSUSDT,0.595,0.62,0.573,0.598,25426418.4,15252167.1686,31370
1698192000000,2023-10-25,EOSUSDT,0.592,0.608,0.576,0.595,17905001.0,10626537.6764,22883
1698105600000,2023-10-24,EOSUSDT,0.592,0.608,0.571,0.593,23500643.5,13890097.9888,30691
1698019200000,2023-10-23,EOSUSDT,0.561,0.598,0.557,0.592,19256917.2,11079458.8565,24517
1697932800000,2023-10-22,EOSUSDT,0.56,0.564,0.546,0.562,9187725.2,5091261.9663,10345
1697846400000,2023-10-21,EOSUSDT,0.546,0.565,0.545,0.56,8115232.8,4516636.0132,9090
1697760000000,2023-10-20,EOSUSDT,0.536,0.558,0.532,0.547,7324153.1,4007226.157,9696
1697673600000,2023-10-19,EOSUSDT,0.534,0.537,0.523,0.535,5395484.0,2864342.7648,8810
1697587200000,2023-10-18,EOSUSDT,0.542,0.55,0.529,0.535,6223974.5,3357153.6533,7679
1697500800000,2023-10-17,EOSUSDT,0.558,0.559,0.533,0.542,7278189.3,3976613.6087,9579
1697414400000,2023-10-16,EOSUSDT,0.547,0.574,0.546,0.558,13286933.2,7438766.1629,15671
1697328000000,2023-10-15,EOSUSDT,0.542,0.553,0.539,0.548,5053329.5,2757960.7899,6911
1697241600000,2023-10-14,EOSUSDT,0.544,0.548,0.541,0.542,3392415.6,1846962.9731,4268
1697155200000,2023-10-13,EOSUSDT,0.536,0.55,0.535,0.544,3292459.5,1783893.9592,4711
1697068800000,2023-10-12,EOSUSDT,0.539,0.54,0.526,0.537,6900788.3,3690069.3216,6862
1696982400000,2023-10-11,EOSUSDT,0.543,0.545,0.529,0.539,4979532.0,2669543.3206,6230
1696896000000,2023-10-10,EOSUSDT,0.541,0.546,0.534,0.542,4997312.9,2705345.8409,5905
1696809600000,2023-10-09,EOSUSDT,0.567,0.568,0.528,0.541,9138073.3,4970433.6399,12429
1696723200000,2023-10-08,EOSUSDT,0.569,0.572,0.559,0.566,4066479.7,2302582.3516,5612
1696636800000,2023-10-07,EOSUSDT,0.57,0.579,0.565,0.569,25750682.5,14769084.5759,18355
