Unix,Date,Symbol,Open,High,Low,Close,Volume FTM,Volume USDT,tradecount
1703116800000,2023-12-21,FTMUSDT,0.4477,0.4977,0.4356,0.4877,218636405.0,102320843.9547,306375
1703030400000,2023-12-20,FTMUSDT,0.3978,0.4558,0.39,0.4477,137318243.0,59083367.918,178862
1702944000000,2023-12-19,FTMUSDT,0.4136,0.4207,0.392,0.3979,94919885.0,38806753.1902,125729
1702857600000,2023-12-18,FTMUSDT,0.3936,0.4187,0.3742,0.4135,109454554.0,43722950.0186,134716
1702771200000,2023-12-17,FTMUSDT,0.4188,0.4272,0.3924,0.3936,80410539.0,33121043.9039,108664
1702684800000,2023-12-16,FTMUSDT,0.4221,0.4434,0.4082,0.4187,100452627.0,42529578.5249,143492
1702598400000,2023-12-15,FTMUSDT,0.438,0.4581,0.4149,0.422,140386690.0,60524366.64,176485
1702512000000,2023-12-14,FTMUSDT,0.3925,0.447,0.3902,0.438,181195722.0,75823353.0768,242322
1702425600000,2023-12-13,FTMUSDT,0.3938,0.3966,0.3584,0.3924,119854151.0,45130552.8085,144212
1702339200000,2023-12-12,FTMUSDT,0.3641,0.4099,0.363,0.3938,161098050.0,62592822.159,198457
1702252800000,2023-12-11,FTMUSDT,0.4038,0.4085,0.344,0.3642,131104991.0,48324255.8716,165863
1702166400000,2023-12-10,FTMUSDT,0.3979,0.4175,0.38,0.4036,96561226.0,38712096.8803,121449
1702080000000,2023-12-09,FTMUSDT,0.3686,0.43,0.3684,0.398,215945570.0,87385973.1289,282318
1701993600000,2023-12-08,FTMUSDT,0.3428,0.3708,0.3412,0.3686,99118323.0,35554905.1869,104763
1701907200000,2023-12-07,FTMUSDT,0.336,0.3483,0.323,0.3428,78847680.0,26572643.0798,88782
1701820800000,2023-12-06,FTMUSDT,0.3342,0.347,0.3235,0.3359,103153936.0,34675389.1922,111362
1701734400000,2023-12-05,FTMUSDT,0.3274,0.3384,0.3135,0.3341,103877720.0,33840699.9647,105332
1701648000000,2023-12-04,FTMUSDT,0.3159,0.3284,0.29,0.3274,117763918.0,37075823.7414,118540
1701561600000,2023-12-03,FTMUSDT,0.3236,0.3263,0.3099,0.316,73952727.0,23411448.9567,58693
1701475200000,2023-12-02,FTMUSDT,0.3156,0.3296,0.3147,0.3236,78066174.0,25169132.0017,65729
1701388800000,2023-12-01,FTMUSDT,0.3037,0.3196,0.2993,0.3156,58161893.0,18214891.2943,51903
1701302400000,2023-11-30,FTMUSDT,0.3008,0.3055,0.296,0.3036,37908856.0,11403885.4754,35838
1701216000000,2023-11-29,FTMUSDT,0.3172,0.3213,0.299,0.3009,67013129.0,20757966.7107,57273
1701129600000,2023-11-28,FTMUSDT,0.2964,0.3209,0.2856,0.3172,70655165.0,21555981.0742,65858
1701043200000,2023-11-27,FTMUSDT,0.3101,0.3131,0.29,0.2963,44113032.0,13179200.4505,43690
1700956800000,2023-11-26,FTMUSDT,0.3179,0.3225,0.3014,0.31,48847724.0,15297980.6,49716
1700870400000,2023-11-25,FTMUSDT,0.3021,0.3227,0.2994,0.3177,54991263.0,17400351.2561,57594
1700784000000,2023-11-24,FTMUSDT,0.2975,0.3085,0.2964,0.3022,45673424.0,13854876.213,45948
1700697600000,2023-11-23,FTMUSDT,0.298,0.3064,0.2934,0.2974,42881157.0,12849695.7919,45083
1700611200000,2023-11-22,FTMUSDT,0.2822,0.3046,0.2803,0.298,71499463.0,20962071.3864,67625
1700524800000,2023-11-21,FTMUSDT,0.3112,0.3172,0.278,0.2822,127854519.0,38254639.4567,131072
1700438400000,2023-11-20,FTMUSDT,0.3342,0.3482,0.3106,0.3112,75782353.0,25067347.0073,88270
1700352000000,2023-11-19,FTMUSDT,0.326,0.3375,0.315,0.3342,55407370.0,17997380.3679,62271
1700265600000,2023-11-18,FTMUSDT,0.3418,0.342,0.3099,0.3261,64519512.0,20859399.8889,73119
1700179200000,2023-11-17,FTMUSDT,0.3496,0.364,0.324,0.3419,93337632.0,31955740.0834,110407
1700092800000,2023-11-16,FTMUSDT,0.3284,0.3792,0.3262,0.3497,220653696.0,79476651.752,257881
1700006400000,2023-11-15,FTMUSDT,0.3058,0.3342,0.3053,0.3284,84285044.0,27301472.6976,87476
1699920000000,2023-11-14,FTMUSDT,0.3044,0.3206,0.2868,0.3058,107441866.0,32863022.5574,117335
1699833600000,2023-11-13,FTMUSDT,0.3314,0.3377,0.3005,0.3044,110566865.0,34964161.4183,119896
1699747200000,2023-11-12,FTMUSDT,0.3111,0.3449,0.2955,0.3314,170128833.0,55568614.5348,172256
1699660800000,2023-11-11,FTMUSDT,0.2932,0.3193,0.29,0.3109,155153671.0,47231766.9804,159766
1699574400000,2023-11-10,FTMUSDT,0.2598,0.2983,0.258,0.2933,160572773.0,44346473.7513,134930
1699488000000,2023-11-09,FTMUSDT,0.271,0.2872,0.232,0.2597,161220399.0,43210595.794,150219
1699401600000,2023-11-08,FTMUSDT,0.267,0.2827,0.2622,0.271,74400916.0,20249397.419,60186
1699315200000,2023-11-07,FTMUSDT,0.2742,0.2745,0.2548,0.267,72077315.0,19146698.4119,65063
