Unix,Date,Symbol,Open,High,Low,Close,Volume NEO,Volume USDT,tradecount
1703116800000,2023-12-21,NEOUSDT,13.42,14.91,13.29,14.54,2356575.5,33731838.9696,133887
1703030400000,2023-12-20,NEOUSDT,12.54,14.06,12.46,13.42,1205071.29,16141043.8938,72561
1702944000000,2023-12-19,NEOUSDT,12.52,12.9,12.4,12.54,772725.84,9790726.2849,38807
1702857600000,2023-12-18,NEOUSDT,12.82,13.17,11.74,12.51,795839.71,9799255.8144,49111
1702771200000,2023-12-17,NEOUSDT,13.09,13.33,12.57,12.83,675805.26,8713897.0195,36550
1702684800000,2023-12-16,NEOUSDT,12.98,13.6,12.84,13.08,848993.47,11183682.3936,45746
1702598400000,2023-12-15,NEOUSDT,13.07,13.75,12.72,12.99,1287530.9,17063706.4503,63392
1702512000000,2023-12-14,NEOUSDT,12.83,13.25,12.35,13.07,828550.92,10673313.3436,44630
1702425600000,2023-12-13,NEOUSDT,12.17,12.99,11.97,12.83,1887438.5,23701265.6661,91007
1702339200000,2023-12-12,NEOUSDT,11.75,12.31,11.7,12.17,671551.23,8052887.0969,31185
1702252800000,2023-12-11,NEOUSDT,13.0,13.09,11.2,11.75,1103112.77,13360337.5805,51851
1702166400000,2023-12-10,NEOUSDT,12.77,13.36,12.56,12.99,768397.7,9999792.682,34279
1702080000000,2023-12-09,NEOUSDT,12.65,13.4,12.62,12.76,1287723.27,16824081.9692,59514
1701993600000,2023-12-08,NEOUSDT,12.13,12.68,11.97,12.65,866147.19,10692557.5729,33627
1701907200000,2023-12-07,NEOUSDT,11.83,12.16,11.68,12.14,860237.87,10277865.0614,32744
1701820800000,2023-12-06,NEOUSDT,12.2,12.59,11.6,11.83,1195326.46,14388266.586,52215
1701734400000,2023-12-05,NEOUSDT,12.09,12.27,11.76,12.2,943840.93,11342782.8751,40276
1701648000000,2023-12-04,NEOUSDT,12.2,12.49,11.73,12.09,1347250.07,16358987.2558,51846
1701561600000,2023-12-03,NEOUSDT,11.77,12.75,11.7,12.21,2914787.08,36062685.6919,113531
1701475200000,2023-12-02,NEOUSDT,11.22,12.06,11.2,11.77,814079.31,9511783.9962,29775
1701388800000,2023-12-01,NEOUSDT,11.14,11.24,10.93,11.22,443112.66,4916021.9602,17051
1701302400000,2023-11-30,NEOUSDT,10.83,11.24,10.75,11.13,491546.08,5423082.1097,23785
1701216000000,2023-11-29,NEOUSDT,10.92,11.13,10.65,10.83,366085.29,3987047.38,16954
1701129600000,2023-11-28,NEOUSDT,10.73,10.99,10.48,10.92,403738.36,4339675.8449,20958
1701043200000,2023-11-27,NEOUSDT,10.89,11.0,10.46,10.74,574775.95,6118160.6086,22879
1700956800000,2023-11-26,NEOUSDT,11.31,11.45,10.63,10.88,575955.13,6369313.1921,26183
1700870400000,2023-11-25,NEOUSDT,11.03,11.32,10.94,11.3,423646.5,4741943.4202,19520
1700784000000,2023-11-24,NEOUSDT,10.97,11.35,10.94,11.03,666641.69,7417454.7014,29879
1700697600000,2023-11-23,NEOUSDT,10.68,11.14,10.6,10.98,1206361.54,13112621.3024,46486
1700611200000,2023-11-22,NEOUSDT,10.08,10.83,10.06,10.68,787044.87,8299648.0621,36281
