Unix,Date,Symbol,Open,High,Low,Close,Volume XMR,Volume USDT,tradecount
1703116800000,2023-12-21,XMRUSDT,174.8,176.3,172.2,173.3,61648.761,10753290.6032,30432
1703030400000,2023-12-20,XMRUSDT,171.3,175.0,170.6,174.7,67426.867,11692969.8764,31240
1702944000000,2023-12-19,XMRUSDT,173.7,176.0,167.9,171.2,88667.167,15289572.0944,38780
1702857600000,2023-12-18,XMRUSDT,168.1,174.1,166.2,173.7,97945.683,16684935.0695,45797
1702771200000,2023-12-17,XMRUSDT,168.7,170.5,167.1,168.0,50374.398,8493283.4295,26503
1702684800000,2023-12-16,XMRUSDT,168.1,172.4,167.1,168.8,58761.244,10011787.547,24463
1702598400000,2023-12-15,XMRUSDT,167.9,173.0,167.7,168.1,99106.209,16856543.5149,38794
1702512000000,2023-12-14,XMRUSDT,169.1,169.3,166.0,168.0,75047.634,12605596.9156,30272
1702425600000,2023-12-13,XMRUSDT,170.9,171.1,166.7,169.0,83901.707,14157342.2919,32999
1702339200000,2023-12-12,XMRUSDT,171.9,173.3,167.9,170.8,84274.689,14411339.6863,41593
1702252800000,2023-12-11,XMRUSDT,176.0,176.7,162.0,171.8,114003.835,19396871.2658,60862
1702166400000,2023-12-10,XMRUSDT,174.9,178.6,174.6,176.0,65369.103,11555104.5607,32497
1702080000000,2023-12-09,XMRUSDT,174.0,177.1,173.8,175.1,69166.693,12141967.6593,33910
1701993600000,2023-12-08,XMRUSDT,172.9,175.7,171.8,174.0,100308.443,17391062.8698,43490
1701907200000,2023-12-07,XMRUSDT,170.7,177.1,170.1,172.9,82230.417,14303857.328,45418
1701820800000,2023-12-06,XMRUSDT,171.1,174.0,170.0,170.7,76362.18,13142885.108,36511
1701734400000,2023-12-05,XMRUSDT,170.6,172.6,167.6,171.1,76848.56,13063891.7378,35992
1701648000000,2023-12-04,XMRUSDT,172.4,174.3,166.6,170.6,88588.796,15088878.7918,48487
1701561600000,2023-12-03,XMRUSDT,172.7,173.5,170.5,172.3,44223.621,7622471.4836,25291
1701475200000,2023-12-02,XMRUSDT,171.8,173.9,170.2,172.6,60878.686,10479617.0775,28520
1701388800000,2023-12-01,XMRUSDT,169.9,171.9,169.1,171.7,60686.971,10364193.6141,33020
1701302400000,2023-11-30,XMRUSDT,166.0,170.5,165.9,169.9,54926.462,9252153.6935,28216
1701216000000,2023-11-29,XMRUSDT,167.7,167.9,164.9,165.9,63385.795,10558114.4259,28404
1701129600000,2023-11-28,XMRUSDT,165.6,168.0,164.0,167.6,48829.857,8106132.9172,26300
1701043200000,2023-11-27,XMRUSDT,169.5,170.6,164.5,165.5,68999.38,11541861.4462,32144
1700956800000,2023-11-26,XMRUSDT,172.0,173.3,167.8,169.4,42144.327,7207710.5244,21690
1700870400000,2023-11-25,XMRUSDT,170.3,173.0,169.6,172.0,50145.299,8588631.1783,26255
1700784000000,2023-11-24,XMRUSDT,165.9,171.6,165.8,170.4,67667.847,11426486.0581,34235
1700697600000,2023-11-23,XMRUSDT,163.0,167.9,162.9,165.8,81381.834,13499072.5719,30481
1700611200000,2023-11-22,XMRUSDT,158.9,164.1,158.0,163.1,82420.116,13392884.3452,33061
1700524800000,2023-11-21,XMRUSDT,162.9,166.0,158.1,158.8,74536.636,12185426.4995,34425
1700438400000,2023-11-20,XMRUSDT,164.0,165.0,161.6,163.0,56039.68,9177592.0996,26016
1700352000000,2023-11-19,XMRUSDT,160.7,164.2,159.3,163.9,37687.522,6086501.0233,16497
1700265600000,2023-11-18,XMRUSDT,162.9,162.9,159.0,160.8,34533.956,5541095.0858,15148
1700179200000,2023-11-17,XMRUSDT,160.9,167.2,160.4,162.9,90997.616,14910399.5869,34524
1700092800000,2023-11-16,XMRUSDT,161.1,162.9,157.2,160.8,80410.493,12916893.5234,30285
1700006400000,2023-11-15,XMRUSDT,163.3,166.6,157.8,161.1,118145.616,19207313.1791,38943
1699920000000,2023-11-14,XMRUSDT,162.7,166.5,158.9,163.3,65585.1,10716740.9564,27741
1699833600000,2023-11-13,XMRUSDT,171.2,172.9,162.5,162.6,76836.792,12906025.19,32897
1699747200000,2023-11-12,XMRUSDT,169.3,171.8,166.4,171.2,49692.706,8407887.9308,22147
1699660800000,2023-11-11,XMRUSDT,170.8,172.6,167.6,169.3,67225.361,11455535.2585,35343
1699574400000,2023-11-10,XMRUSDT,170.2,173.8,166.4,170.8,83370.895,14258260.8285,39829
1699488000000,2023-11-09,XMRUSDT,167.2,171.3,157.9,170.3,108719.705,18093347.5928,53708
1699401600000,2023-11-08,XMRUSDT,166.1,167.9,164.0,167.3,66188.454,10988548.2159,27576
1699315200000,2023-11-07,XMRUSDT,165.2,168.4,161.5,166.1,91321.428,15093956.4502,34432
1699228800000,2023-11-06,XMRUSDT,169.3,169.6,164.4,165.2,81043.096,13481544.2597,31853
1699142400000,2023-11-05,XMRUSDT,168.1,170.9,167.0,169.2,53477.338,9044442.8639,28543
1699056000000,2023-11-04,XMRUSDT,170.8,171.7,165.2,168.1,51012.333,8608696.3469,26244
1698969600000,2023-11-03,XMRUSDT,171.0,173.2,168.5,170.7,58202.459,9966495.6954,32056
1698883200000,2023-11-02,XMRUSDT,171.5,172.6,167.5,171.0,96073.0,16376534.538,44413
1698796800000,2023-11-01,XMRUSDT,172.2,172.9,169.3,171.5,82640.84,14125813.643,36486
1698710400000,2023-10-31,XMRUSDT,172.6,173.9,168.3,172.2,65175.472,11167013.741,36900
1698624000000,2023-10-30,XMRUSDT,174.1,175.4,164.4,172.7,120040.048,20505573.5203,60074
1698537600000,2023-10-29,XMRUSDT,161.9,175.0,159.9,174.1,127114.12,21073319.2987,48445
1698451200000,2023-10-28,XMRUSDT,160.8,162.9,159.5,161.9,52846.451,8537837.1942,20205
1698364800000,2023-10-27,XMRUSDT,159.5,161.3,156.7,160.7,52700.005,8417922.3673,23406
1698278400000,2023-10-26,XMRUSDT,160.1,162.6,156.6,159.6,80942.508,12955713.4987,32663
1698192000000,2023-10-25,XMRUSDT,158.0,160.6,154.4,160.1,90088.476,14210874.6187,31473
1698105600000,2023-10-24,XMRUSDT,160.9,163.8,155.5,158.0,122627.981,19544763.7328,53689
1698019200000,2023-10-23,XMRUSDT,159.0,162.3,156.8,160.9,86577.576,13763509.9109,35310
1697932800000,2023-10-22,XMRUSDT,157.8,160.0,156.2,159.0,50712.024,8019479.627,24638
1697846400000,2023-10-21,XMRUSDT,154.8,158.2,154.1,157.8,40236.683,6289335.1187,17323
1697760000000,2023-10-20,XMRUSDT,152.5,157.4,151.7,154.8,66368.436,10268842.4905,26109
1697673600000,2023-10-19,XMRUSDT,149.7,152.6,146.7,152.5,58854.258,8858837.0724,28626
1697587200000,2023-10-18,XMRUSDT,150.5,152.5,149.6,149.7,44790.582,6763168.4014,18165
1697500800000,2023-10-17,XMRUSDT,152.4,152.4,149.3,150.5,49704.245,7509634.592,19254
1697414400000,2023-10-16,XMRUSDT,152.3,154.0,150.9,152.4,63899.641,9712431.9172,27536
1697328000000,2023-10-15,XMRUSDT,152.8,153.5,151.8,152.3,29734.268,4537825.1521,12726
