Time,Open,High,Low,Close,Volume,
2018-01-01 00:00:00, 13863.14, 13885.34, 13536.13, 13586.93, 975.33688204,
2018-01-01 01:00:00, 13588, 13673.99, 13332.11, 13345.7, 824.68339289,
2018-01-01 02:00:00, 13345.71, 13488.99, 13320.01, 13438, 520.56952442,
2018-01-01 03:00:00, 13438, 13703.9, 13400.57, 13474, 630.81549071,
2018-01-01 04:00:00, 13474, 13649, 13361.01, 13620, 475.27304199,
2018-01-01 05:00:00, 13620, 13620, 13462.71, 13508.01, 443.02198473,
2018-01-01 06:00:00, 13508.01, 13800, 13400, 13797.99, 504.20403246,
2018-01-01 07:00:00, 13798, 13889, 13580.01, 13601.27, 444.90614719,
2018-01-01 08:00:00, 13601.29, 13700, 13432, 13474.97, 412.9200326,
2018-01-01 09:00:00, 13474.97, 13650, 13459.98, 13596.95, 138.05718175,
2018-01-01 10:00:00, 13596.95, 13600.01, 13479.04, 13576.48, 117.80164705,
2018-01-01 11:00:00, 13576.47, 13576.48, 13188, 13279.99, 445.09012454,
2018-01-01 12:00:00, 13280, 13339.99, 13190, 13234.45, 259.1309727,
2018-01-01 13:00:00, 13234.45, 13262.39, 13054.43, 13115.95, 537.39151501,
2018-01-01 14:00:00, 13115.95, 13277.73, 12952.5, 13271.98, 804.67304844,
2018-01-01 15:00:00, 13271.99, 13399, 13178.85, 13255.29, 531.69219527,
2018-01-01 16:00:00, 13250.37, 13272.38, 13035, 13093.1, 527.28738423,
2018-01-01 17:00:00, 13093.1, 13248.6, 13093.09, 13138.11, 380.26933814,
2018-01-01 18:00:00, 13138.12, 13321.23, 13114.47, 13189.98, 552.89205543,
2018-01-01 19:00:00, 13189.98, 13350, 13156.91, 13345.47, 453.70157938,
2018-01-01 20:00:00, 13345.47, 13544.24, 13345.46, 13469.01, 575.89473162,
2018-01-01 21:00:00, 13469.01, 13772.59, 13432, 13565, 827.49920157,
2018-01-01 22:00:00, 13565.01, 13688, 13475.33, 13538.11, 453.65171581,
2018-01-01 23:00:00, 13538.1, 13538.11, 13454, 13480.01, 458.24331582,
2018-01-02 00:00:00, 13480, 13999, 13480, 13830.32, 1060.40571583,
2018-01-02 01:00:00, 13839.32, 13889.42, 13631, 13632.94, 1207.72415092,
2018-01-02 02:00:00, 13639.99, 13713.27, 13431, 13550.01, 1831.90883543,
2018-01-02 03:00:00, 13550, 13550.01, 13310.66, 13372.95, 896.06594839,
2018-01-02 04:00:00, 13372.96, 13400, 13005, 13164.83, 1315.37158712,
