Time,Open,High,Low,Close,Volume
2022-06-03 17:20:00,1.372,1.372,1.363,1.37,7203.27
2022-06-03 17:25:00,1.37,1.377,1.363,1.363,10172.28
2022-06-03 17:30:00,1.362,1.371,1.356,1.364,18947.52
2022-06-03 17:35:00,1.363,1.37,1.36,1.368,26554.78
2022-06-03 17:40:00,1.367,1.368,1.349,1.354,13109.8
2022-06-03 17:45:00,1.359,1.37,1.354,1.37,9506.21
2022-06-03 17:50:00,1.369,1.372,1.361,1.361,15298.99
2022-06-03 17:55:00,1.365,1.369,1.359,1.364,6897.24
2022-06-03 18:00:00,1.362,1.371,1.357,1.367,10874.16
2022-06-03 18:05:00,1.369,1.37,1.358,1.358,14739.66
2022-06-03 18:10:00,1.357,1.362,1.348,1.352,14985.04
2022-06-03 18:15:00,1.357,1.359,1.35,1.353,7411.49
2022-06-03 18:20:00,1.358,1.36,1.353,1.359,4982.58
2022-06-03 18:25:00,1.356,1.363,1.354,1.362,12801.31
2022-06-03 18:30:00,1.362,1.367,1.36,1.366,15007.08
2022-06-03 18:35:00,1.361,1.365,1.35,1.35,12185.68
2022-06-03 18:40:00,1.35,1.35,1.333,1.348,74671.78
2022-06-03 18:45:00,1.347,1.35,1.339,1.343,7438.66
2022-06-03 18:50:00,1.343,1.347,1.335,1.342,22282.92
2022-06-03 18:55:00,1.339,1.34,1.332,1.337,28784.32
2022-06-03 19:00:00,1.339,1.34,1.33,1.336,40173.3
2022-06-03 19:05:00,1.34,1.347,1.339,1.343,26013.75
2022-06-03 19:10:00,1.344,1.345,1.332,1.332,6263.52
2022-06-03 19:15:00,1.336,1.34,1.323,1.326,39866.38
2022-06-03 19:20:00,1.323,1.326,1.313,1.32,34535.33
2022-06-03 19:25:00,1.318,1.328,1.316,1.325,8154.69
2022-06-03 19:30:00,1.322,1.328,1.319,1.324,7731.14
2022-06-03 19:35:00,1.326,1.333,1.323,1.33,27743.99
2022-06-03 19:40:00,1.331,1.343,1.33,1.34,17499.29
2022-06-03 19:45:00,1.339,1.346,1.332,1.344,32248.7
2022-06-03 19:50:00,1.341,1.35,1.339,1.347,11151.93
2022-06-03 19:55:00,1.345,1.349,1.339,1.343,13405.35
2022-06-03 20:00:00,1.344,1.344,1.332,1.336,24457.32
2022-06-03 20:05:00,1.334,1.337,1.327,1.333,5407.49
2022-06-03 20:10:00,1.332,1.354,1.332,1.348,32314.63
2022-06-03 20:15:00,1.345,1.35,1.343,1.349,8391.17
2022-06-03 20:20:00,1.347,1.361,1.347,1.357,8655.61
2022-06-03 20:25:00,1.359,1.373,1.352,1.366,23560.2
2022-06-03 20:30:00,1.367,1.368,1.357,1.364,12497.65
2022-06-03 20:35:00,1.361,1.364,1.351,1.36,13879.65
2022-06-03 20:40:00,1.356,1.369,1.355,1.359,21547.73
