Time,Open,High,Low,Close,Volume
2023-11-01 18:10:00,2.6,2.601,2.6,2.601,2001.49
2023-11-01 18:15:00,2.535,2.631,2.535,2.631,946.49
2023-11-01 18:55:00,2.57,2.57,2.531,2.557,2456.01
2023-11-01 19:00:00,2.556,2.623,2.55,2.585,4308.18
2023-11-01 19:05:00,2.593,2.672,2.585,2.6,8173.37
2023-11-01 19:10:00,2.66,2.66,2.551,2.551,5677.67
2023-11-01 19:15:00,2.562,2.619,2.508,2.56,2220.9
2023-11-01 19:20:00,2.57,2.57,2.511,2.559,2905.2
2023-11-01 19:25:00,2.522,2.619,2.509,2.558,5285.88
2023-11-01 19:30:00,2.54,2.568,2.464,2.568,8268.05
2023-11-01 19:35:00,2.544,2.564,2.493,2.547,6495.81
2023-11-01 19:40:00,2.531,2.564,2.508,2.511,6233.19
2023-11-01 19:45:00,2.503,2.524,2.503,2.519,1014.37
2023-11-01 19:50:00,2.54,2.587,2.54,2.587,923.0
2023-11-01 19:55:00,2.542,2.573,2.542,2.568,1579.11
2023-11-01 20:00:00,2.587,2.66,2.568,2.597,632.45
2023-11-01 20:05:00,2.593,2.673,2.593,2.602,1331.72
2023-11-01 20:10:00,2.6,2.61,2.597,2.599,297.39
2023-11-01 20:15:00,2.599,2.599,2.553,2.559,745.8
2023-11-01 20:20:00,2.559,2.6,2.531,2.582,1407.89
2023-11-01 20:25:00,2.55,2.586,2.55,2.574,1773.02
2023-11-01 20:30:00,2.585,2.616,2.556,2.566,2330.59
2023-11-01 20:35:00,2.561,2.566,2.55,2.554,476.11
2023-11-01 20:40:00,2.548,2.616,2.545,2.552,536.66
2023-11-01 20:45:00,2.557,2.557,2.527,2.527,80.55
2023-11-01 20:50:00,2.534,2.547,2.531,2.539,525.03
2023-11-01 20:55:00,2.548,2.616,2.548,2.578,960.74
2023-11-01 21:00:00,2.573,2.573,2.548,2.548,1124.13
2023-11-01 21:05:00,2.559,2.615,2.543,2.56,2944.08
2023-11-01 21:10:00,2.615,2.75,2.556,2.75,16580.6
2023-11-01 21:15:00,2.803,2.803,2.704,2.704,1149.97
2023-11-01 21:20:00,2.605,2.783,2.582,2.783,12457.74
2023-11-01 21:25:00,2.783,2.783,2.6,2.6,14969.56
2023-11-01 21:30:00,2.605,2.7,2.59,2.625,9587.96
2023-11-01 21:35:00,2.645,2.7,2.592,2.592,2025.22
2023-11-01 21:40:00,2.597,2.635,2.597,2.611,5200.67
2023-11-01 21:45:00,2.61,2.61,2.562,2.588,17077.17
2023-11-01 21:50:00,2.58,2.593,2.562,2.566,1572.67
2023-11-01 21:55:00,2.576,2.595,2.57,2.588,1806.15
2023-11-01 22:00:00,2.589,2.6,2.588,2.6,1361.07
2023-11-01 22:05:00,2.589,2.589,2.551,2.569,879.93
2023-11-01 22:10:00,2.557,2.578,2.551,2.551,3174.1
2023-11-01 22:15:00,2.558,2.593,2.557,2.593,543.69
2023-11-01 22:20:00,2.59,2.59,2.581,2.581,6741.33
2023-11-01 22:25:00,2.567,2.571,2.567,2.57,334.38
2023-11-01 22:30:00,2.566,2.566,2.52,2.52,1386.82
2023-11-01 22:35:00,2.515,2.534,2.482,2.499,4676.86
2023-11-01 22:40:00,2.505,2.509,2.492,2.507,914.95
2023-11-01 22:45:00,2.5,2.519,2.5,2.506,1305.22
2023-11-01 22:50:00,2.505,2.511,2.466,2.466,8915.33
2023-11-01 22:55:00,2.472,2.495,2.461,2.47,2433.1
2023-11-01 23:00:00,2.464,2.485,2.45,2.484,228.21
